name,description
China Energy Portal,"RT @LHongqiao: A week after the two sessions, who's doing what to implement Xi's 2030/60 climate pledge? 

1. The National Development &amp; Re…"
China Energy Portal,"RT @JorritGosens: Over Jan-Feb 2021, China's thermal power output was up 18% vs last year. Steel production was up 22%.
https://t.co/IhfNxg…"
China Energy Portal,"Cumulative emissions, for some perspective on relative historical and future responsibilities, by India &amp; China. https://t.co/R2Uve9Nj5g"
China Energy Portal,RT @pretentiouswhat: Thoughtful and informative thread on China's CSP (concentrated solar power) industry and how it has matured rapidly in…
China Energy Portal,RT @RynaCui: Check our paper on @NatureComms for a plant-by-plant coal phaseout strategy in China to achieve ambitious climate and developm…
China Energy Portal,"RT @JorritGosens: My comments: yes, China's 14th FYP headline targets are somewhat of a letdown compared to hope offered by the announcemen…"
China Energy Portal,"RT @YanQinyq: China released key goals in 14th Five-Year Plan:

🇨🇳 2021-2025

🔹&gt;6% GDP growth in 2021
🔹-13.5% in Energy consumption per uni…"
China Energy Portal,"RT @laurimyllyvirta: China sets a target of ""basically eliminating"" heavy air pollution days by 2025, amid heavy smog in Beijing. Drops GDP…"
China Energy Portal,"RT @YanQinyq: 🇨🇳 “Carbon Neutral” obviously dominates proposals at annual “Two Sessions”. 

Key advices on Carbon market:
🔹Enhance ETS legi…"
China Energy Portal,"Disclaimer: the numbers in here are all very much back of the envelope.
Steel prod porjectins from MS Commodity rep… https://t.co/AecBDlQ2ZE"
China Energy Portal,Expect other targets to be announced that will do more to support the low-carbon transition over the next few days.… https://t.co/56CnNZytxE
China Energy Portal,"Niether would be a great result, really.
In either scenario towards net-zero by 2060 from Tsinghua's I3E institute,… https://t.co/F6OQ0SxLFS"
China Energy Portal,This woudl mean cosnumption of coal by coal-fired power generation woudl grow by as much as 228 Mt between 2020 and… https://t.co/gZwwgX8crN
China Energy Portal,"If we suppose a sharper drop in steel consumption, more coal would be available for coal-fired power generation, se… https://t.co/HiCellf7e8"
China Energy Portal,"In a graph with recent years, that looks like this. 
This would make coal consumption from coal-fired power cosnump… https://t.co/Y5Gv2la0Jr"
China Energy Portal,"Steel production was at a peak in 2020. 
China will also consume more scrap for steelmaking, which does not require… https://t.co/Ac2SEDbORq"
China Energy Portal,"What does that mean for power generation, where we should expect decarbonization to be the quickest?
That depends.… https://t.co/ehrtfF1bsZ"
China Energy Portal,"One of China's first new targets for the 14th FYP. 
Industry rumours, but on China Daily, so will be roughly correc… https://t.co/qU4FbZqMHz"
China Energy Portal,"Updated, more detailed power stats for 2019 now available
https://t.co/bRgukhvvXt"
China Energy Portal,"RT @YanQinyq: 📢 Tsinghua ICCSD released Summary report of 
''China's Long-term Low-carbon Development Strategy and Pathway''project, unveil…"
China Energy Portal,RT @EmberClimate: China's #aluminium sector must shut 47 GW of inefficient ‘subcritical’ #coal capacity this decade - equivalent to more th…
China Energy Portal,Original document here: https://t.co/LSY3wtnkDV
