Region,Sub-region,Country,ISO3 code,M49 code,RE or Non-RE,Group Technology,Technology,Sub-Technology,Producer Type,Year,Electricity Generation (GWh),Electricity Installed Capacity (MW)
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2004,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2005,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2006,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2007,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2008,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2009,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2010,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2011,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2012,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2013,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2014,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2015,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2016,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2017,0,0
Asia,Eastern Asia,China,CHN,156,Total Non-Renewable,Fossil fuels,Natural gas,Natural gas,Heat (Commercial),2018,0,0
